descriptor_ui,replication_count,nodes
D000642,3,"node_2,node_5,node_7"
D000643,4,"node_10,node_2,node_6,node_7"
D000644,5,"node_2,node_5,node_6,node_7,node_8"
D000645,3,"node_2,node_6,node_7"
D000646,4,"node_1,node_10,node_6,node_8"
D000647,6,"node_1,node_10,node_5,node_6,node_7,node_8"
D000648,6,"node_1,node_10,node_5,node_6,node_7,node_8"
D000649,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000650,4,"node_1,node_6,node_7,node_8"
D000652,3,"node_1,node_10,node_5"
D000653,4,"node_1,node_5,node_6,node_8"
D000654,3,"node_10,node_2,node_8"
D000655,3,"node_1,node_2,node_8"
D000656,3,"node_1,node_10,node_6"
D000657,3,"node_1,node_2,node_8"
D000658,4,"node_1,node_2,node_7,node_8"
