descriptor_ui,replication_count,nodes
D000519,3,"node_1,node_2,node_4"
D000520,3,"node_1,node_2,node_4"
D000521,4,"node_1,node_4,node_5,node_6"
D000522,3,"node_4,node_7,node_8"
D000523,3,"node_3,node_4,node_9"
D000524,3,"node_1,node_2,node_3"
D000525,3,"node_4,node_8,node_9"
D000526,4,"node_10,node_4,node_6,node_7"
D000527,4,"node_2,node_4,node_8,node_9"
D000528,3,"node_2,node_3,node_8"
D000529,3,"node_3,node_4,node_5"
D000530,3,"node_3,node_4,node_9"
D000531,5,"node_4,node_5,node_6,node_7,node_8"
D000532,3,"node_3,node_7,node_8"
D000533,3,"node_1,node_6,node_9"
D000534,3,"node_4,node_6,node_8"
D000535,4,"node_10,node_2,node_4,node_6"
D000536,5,"node_4,node_6,node_7,node_8,node_9"
D000537,3,"node_4,node_6,node_8"
D000538,4,"node_3,node_4,node_6,node_8"
D000539,5,"node_1,node_10,node_2,node_3,node_8"
D000540,3,"node_5,node_7,node_9"
D000541,3,"node_5,node_7,node_9"
D000542,4,"node_3,node_4,node_8,node_9"
D000543,3,"node_5,node_7,node_9"
D000544,7,"node_1,node_10,node_2,node_3,node_5,node_6,node_9"
D000545,3,"node_2,node_3,node_8"
D000546,4,"node_4,node_5,node_8,node_9"
D000547,3,"node_4,node_7,node_8"
D000548,6,"node_10,node_4,node_5,node_7,node_8,node_9"
D000549,4,"node_10,node_2,node_4,node_7"
D000550,6,"node_1,node_10,node_2,node_3,node_4,node_5"
D000551,3,"node_10,node_4,node_7"
D000552,5,"node_10,node_2,node_3,node_4,node_5"
D000553,4,"node_2,node_3,node_4,node_5"
D000554,2,"node_2,node_4"
D000555,2,"node_2,node_4"
D000556,2,"node_5,node_7"
D000557,2,"node_2,node_8"
D000558,2,"node_2,node_8"
D000559,2,"node_2,node_8"
D000560,5,"node_10,node_4,node_7,node_8,node_9"
D000561,5,"node_10,node_4,node_7,node_8,node_9"
D000562,1,node_3
D000563,3,"node_1,node_10,node_4"
D000564,3,"node_3,node_4,node_7"
D000565,2,"node_1,node_7"
D000566,2,"node_7,node_9"
D000567,5,"node_3,node_5,node_6,node_7,node_8"
D000568,2,"node_2,node_3"
D000569,3,"node_1,node_5,node_6"
D000570,2,"node_3,node_4"
D000571,2,"node_3,node_4"
D000572,2,"node_3,node_4"
D000573,2,"node_3,node_4"
D000574,2,"node_3,node_4"
D000575,2,"node_3,node_4"
D000576,5,"node_10,node_2,node_4,node_6,node_7"
D000577,3,"node_4,node_7,node_8"
D000578,3,"node_4,node_7,node_9"
D000579,3,"node_1,node_2,node_4"
