fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_descriptor_ids
branch_code_C09,branch_code,C09,subbranch_code_C01.830,subbranch_code,C01.830,1,D000039
branch_code_C09,branch_code,C09,subbranch_code_C07.550,subbranch_code,C07.550,1,D000039
branch_code_C09,branch_code,C09,subbranch_code_C08.730,subbranch_code,C08.730,1,D000039
branch_code_C09,branch_code,C09,subbranch_code_C09.218,subbranch_code,C09.218,1,D000160
branch_code_C09,branch_code,C09,subbranch_code_C09.775,subbranch_code,C09.775,1,D000039
branch_code_C09,branch_code,C09,subbranch_code_C10.292,subbranch_code,C10.292,1,D000160
branch_code_C10,branch_code,C10,subbranch_code_C05.116,subbranch_code,C05.116,1,D000172
branch_code_C10,branch_code,C10,subbranch_code_C09.218,subbranch_code,C09.218,1,D000160
branch_code_C10,branch_code,C10,subbranch_code_C10.177,subbranch_code,C10.177,1,D000270
branch_code_C10,branch_code,C10,subbranch_code_C10.228,subbranch_code,C10.228,1,D000172
branch_code_C10,branch_code,C10,subbranch_code_C10.292,subbranch_code,C10.292,2,"D000160,D000270"
branch_code_C10,branch_code,C10,subbranch_code_C10.668,subbranch_code,C10.668,1,D000170
branch_code_C10,branch_code,C10,subbranch_code_C10.720,subbranch_code,C10.720,1,D000170
branch_code_C10,branch_code,C10,subbranch_code_C11.590,subbranch_code,C11.590,1,D000270
branch_code_C10,branch_code,C10,subbranch_code_C11.710,subbranch_code,C11.710,1,D000270
branch_code_C10,branch_code,C10,subbranch_code_C19.700,subbranch_code,C19.700,1,D000172
branch_code_C10,branch_code,C10,subbranch_code_C25.723,subbranch_code,C25.723,1,D000170
